
Starting Training
epoch: 00, loss: 6.44316
epoch: 01, loss: 6.30806
epoch: 02, loss: 6.25294
epoch: 03, loss: 6.23211
epoch: 04, loss: 6.21034
epoch: 05, loss: 6.19179
epoch: 06, loss: 6.17774
epoch: 07, loss: 6.15921
epoch: 08, loss: 6.14449
epoch: 09, loss: 6.13282
epoch: 10, loss: 6.11888
epoch: 11, loss: 6.10748
epoch: 12, loss: 6.09187
epoch: 13, loss: 6.07720
epoch: 14, loss: 6.07034
epoch: 15, loss: 6.07305
epoch: 16, loss: 6.04711
epoch: 17, loss: 6.03995
epoch: 18, loss: 6.03208
epoch: 19, loss: 6.02849
epoch: 20, loss: 6.01904
epoch: 21, loss: 6.00515
epoch: 22, loss: 6.00523
epoch: 23, loss: 5.98370
epoch: 24, loss: 5.98186
epoch: 25, loss: 5.97415
epoch: 26, loss: 5.95925
epoch: 27, loss: 5.96807
epoch: 28, loss: 5.95173
epoch: 29, loss: 5.94347
epoch: 30, loss: 5.95228
epoch: 31, loss: 5.93136
epoch: 32, loss: 5.91890
epoch: 33, loss: 5.92700
epoch: 34, loss: 5.91857
epoch: 35, loss: 5.91865
epoch: 36, loss: 5.91429
epoch: 37, loss: 5.90228
epoch: 38, loss: 5.89330
epoch: 39, loss: 5.88799
epoch: 40, loss: 5.89439
epoch: 41, loss: 5.87829
epoch: 42, loss: 5.88964
epoch: 43, loss: 5.87515
epoch: 44, loss: 5.87373
epoch: 45, loss: 5.86476
epoch: 46, loss: 5.85463
epoch: 47, loss: 5.85121
epoch: 48, loss: 5.85743
epoch: 49, loss: 5.84577
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.login() after wandb.init() has no effect.
