0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,class
0.148494312,0.549819833,0.425765089,0.241421725,0.445146983,0.424853302,0.419645683,0.387711053,0.363536663,0.474895864,0.476571843,0.541991947,0.395789122,0.859178227,0.615713108,0.473705031,0.474086337,0.539465726,0.522442847,0.503186833,0.553509559,0.521917004,0.533862655,0.540304262,0.561486292,0.554762615,0.485057052,0.556782085,0.573537108,0.564800518,0.56906826,0.549677602,0.556898819,0.554557108,0.556631105,0.554906974,0.56515221,0.573079876,0.568477328,D:\esc\processeddata\anthrophony\1-104089-A-22_1.wav
0.280945044,0.598001947,0.305639863,0.16516479,0.5129566,0.415254629,0.275224744,0.390634693,0.341656667,0.453619178,0.350708906,0.548567614,0.353323634,0.703980015,0.653837481,0.559609679,0.578892837,0.659721123,0.624285244,0.62389131,0.648372936,0.638933792,0.632448635,0.629801451,0.631672601,0.63834997,0.611253141,0.640289032,0.643794467,0.640076188,0.634964745,0.6331523,0.642671513,0.636555892,0.644907414,0.646108446,0.643802273,0.648926339,0.649513866,D:\esc\processeddata\anthrophony\1-104089-B-22_1.wav
0.509626978,0.745630502,0.196637209,0.153475326,0.456196869,0.319623088,0.425151946,0.389942941,0.457983193,0.389128013,0.449208717,0.42805855,0.441441419,0.687035545,0.580236977,0.50500608,0.520112811,0.525741474,0.53442103,0.54232955,0.565358504,0.557194238,0.544019169,0.561324824,0.563540282,0.575344441,0.560189655,0.566929706,0.564573506,0.568825773,0.572366265,0.562577184,0.564615272,0.55982097,0.567280103,0.56393151,0.566295787,0.57525186,0.568851724,D:\esc\processeddata\anthrophony\1-105224-A-22_1.wav
0.556753193,0.819797133,0.231243404,0.312630766,0.6342919,0.433954857,0.185555399,0.475064056,0.444200589,0.579201763,0.565824987,0.575095355,0.374464971,0.356994307,0.396853612,0.337784085,0.333774604,0.34988974,0.325544605,0.318815968,0.351795766,0.351184342,0.335838597,0.342965131,0.342955122,0.344091087,0.339228653,0.345841485,0.341775679,0.345457901,0.344937751,0.343601941,0.349462077,0.337267884,0.346578508,0.345125311,0.345504328,0.350688353,0.342146978,D:\esc\processeddata\anthrophony\1-110537-A-22_1.wav
0.063161981,0.457069897,0.45128188,0.316023055,0.591783783,0.454351691,0.517786399,0.518695015,0.517691015,0.511005486,0.591029744,0.627155053,0.510997047,0.456134178,0.437962443,0.413763277,0.401043924,0.410403906,0.410393373,0.409293499,0.421477284,0.42079155,0.414260141,0.418681773,0.415558372,0.424315742,0.416201771,0.42098398,0.41736263,0.4185066,0.416954657,0.411618602,0.419210344,0.412762509,0.41890048,0.418685909,0.41894251,0.424765895,0.420483527,D:\esc\processeddata\anthrophony\1-115920-A-22_1.wav
0.376376826,0.583520988,0.155333715,0.160831345,0.538027723,0.344585282,0.499816135,0.640248726,0.616044403,0.618260245,0.442473425,0.63565059,0.424757021,0.460690697,0.565013966,0.462776672,0.5046265,0.51485841,0.482240846,0.532171654,0.537134046,0.54619125,0.495427442,0.53819056,0.509958351,0.519650647,0.520947402,0.509327696,0.510334481,0.51115765,0.515291654,0.510064669,0.515125692,0.505122099,0.517080241,0.517146182,0.515315144,0.525585583,0.517197787,D:\esc\processeddata\anthrophony\1-115920-B-22_1.wav
0.318968031,0.638901455,0.250555462,0.213234389,0.622699791,0.326082448,0.447254115,0.573200451,0.596434763,0.468596831,0.612378927,0.625827215,0.430710845,0.541619224,0.48856414,0.406176133,0.423193726,0.422715252,0.39447547,0.414593452,0.435470758,0.426511166,0.433215893,0.438841471,0.42640619,0.436696235,0.423530091,0.432381633,0.431733828,0.431353368,0.435011089,0.429776582,0.433262649,0.426428298,0.431602917,0.430276099,0.432175478,0.438774176,0.431709884,D:\esc\processeddata\anthrophony\1-115921-A-22_1.wav
0.102757437,0.473782832,0.705710934,0.800148623,0.701814872,0.48342425,0.538243419,0.673312101,0.354902939,0.467162376,0.314832538,0.555069792,0.426153982,0.286785732,0.187394929,0.171186627,0.12502326,0.14933695,0.159261029,0.135039376,0.146164916,0.155257559,0.182797783,0.157700098,0.167474841,0.174231208,0.14938776,0.157988327,0.148853442,0.153377793,0.15499263,0.146415731,0.157450597,0.148848965,0.154329371,0.150817524,0.154419507,0.158205149,0.151010766,D:\esc\processeddata\anthrophony\1-11687-A-47_1.wav
0.099401534,0.498343369,0.787743179,0.636968722,0.706492069,0.583280539,0.656838293,0.537556973,0.544061152,0.51150631,0.569479095,0.488596655,0.422039585,0.10647778,0.08267003,0.056825849,0.060455545,0.066454938,0.060886256,0.057229134,0.05876008,0.061025826,0.060663327,0.059094402,0.054615921,0.056688092,0.060639326,0.065999123,0.05482265,0.055464602,0.057980663,0.050919487,0.061620444,0.052137408,0.059508404,0.057969248,0.057389349,0.06430634,0.05663756,D:\esc\processeddata\anthrophony\1-119125-A-45_1.wav
0.068077657,0.540999439,0.624920594,0.369286934,0.535823823,0.442842606,0.498752045,0.352465848,0.393395859,0.437709885,0.523002032,0.50947344,0.448545331,0.502847417,0.480512234,0.317714515,0.332781187,0.394557634,0.363899591,0.360218207,0.381463621,0.380555808,0.385284169,0.411388845,0.385818361,0.373886561,0.436344503,0.402485159,0.358766171,0.377498346,0.386918369,0.374641415,0.375972356,0.375082435,0.380359192,0.383832555,0.382859238,0.388217455,0.382295012,D:\esc\processeddata\anthrophony\1-155858-A-25_1.wav
